reading lang.rbnf
OK
check syntax and markup RBNF tokens
OK
RBNF tokens: 337
LEVEL_13:reserved_words:49 FALSE
LEVEL_12:name:39 46:EXCLUDE_OFF:0:0
LEVEL_12:name:39 TRUE
LEVEL_11:factor:323 TRUE
LEVEL_10:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_11:mul_div:112 entry 115
LEVEL_11:mul_div:112 115:"*":0:118 = ";":52 FALSE
LEVEL_11:mul_div:112 118:"/":0:0 = ";":52 FALSE
LEVEL_11:mul_div:112 FALSE
LEVEL_10:term:311 TRUE
LEVEL_9:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_10:plus_minus:102 entry 105
LEVEL_10:plus_minus:102 105:"+":0:108 = ";":52 FALSE
LEVEL_10:plus_minus:102 108:"-":0:0 = ";":52 FALSE
LEVEL_10:plus_minus:102 FALSE
LEVEL_9:expression:294 TRUE
LEVEL_8:operator_content:198 TRUE
LEVEL_7:operator:264 TRUE
LEVEL_6:operator_content:198 233:";":235:238 = ";":52 TRUE
LEVEL_6:operator_content:198 235:"operator"-->264 NON_TERMINAL
LEVEL_7:operator:264 entry 269
LEVEL_7:operator:264 269:"operator_content"-->198 NON_TERMINAL
LEVEL_8:operator_content:198 entry 204
LEVEL_8:operator_content:198 204:"name"-->39 NON_TERMINAL
LEVEL_9:name:39 entry 42
LEVEL_9:name:39 42:EXCLUDE_ON:44:0
LEVEL_9:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_10:reserved_words:49 entry 52
LEVEL_10:reserved_words:49 52:"const":0:54 = "b":54 FALSE
LEVEL_10:reserved_words:49 54:"var":0:56 = "b":54 FALSE
LEVEL_10:reserved_words:49 56:"procedure":0:58 = "b":54 FALSE
LEVEL_10:reserved_words:49 58:"call":0:60 = "b":54 FALSE
LEVEL_10:reserved_words:49 60:"begin":0:62 = "b":54 FALSE
LEVEL_10:reserved_words:49 62:"end":0:64 = "b":54 FALSE
LEVEL_10:reserved_words:49 64:"if":0:66 = "b":54 FALSE
LEVEL_10:reserved_words:49 66:"then":0:68 = "b":54 FALSE
LEVEL_10:reserved_words:49 68:"while":0:70 = "b":54 FALSE
LEVEL_10:reserved_words:49 70:"do":0:0 = "b":54 FALSE
LEVEL_10:reserved_words:49 FALSE
LEVEL_9:name:39 46:EXCLUDE_OFF:0:0
LEVEL_9:name:39 TRUE
SEMANTIC_TOKEN AT 206: SEM_LET
LEVEL_8:operator_content:198 208:":=":210:0 = ":=":55 SEMANTIC DECODE: SEM_LET=":="
 TRUE
SEMANTIC_TOKEN AT 210: SEM_DONE
LEVEL_8:operator_content:198 212:"expression"-->294 NON_TERMINAL
LEVEL_9:expression:294 entry 298
LEVEL_9:expression:294 298:"plus_minus"-->102 NON_TERMINAL
LEVEL_10:plus_minus:102 entry 105
LEVEL_10:plus_minus:102 105:"+":0:108 = "y":56 FALSE
LEVEL_10:plus_minus:102 108:"-":0:0 = "y":56 FALSE
LEVEL_10:plus_minus:102 FALSE
LEVEL_9:expression:294 302:"term"-->311 NON_TERMINAL
LEVEL_10:term:311 entry 314
LEVEL_10:term:311 314:"factor"-->323 NON_TERMINAL
LEVEL_11:factor:323 entry 326
LEVEL_11:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_12:name:39 entry 42
LEVEL_12:name:39 42:EXCLUDE_ON:44:0
LEVEL_12:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_13:reserved_words:49 entry 52
LEVEL_13:reserved_words:49 52:"const":0:54 = "y":56 FALSE
LEVEL_13:reserved_words:49 54:"var":0:56 = "y":56 FALSE
LEVEL_13:reserved_words:49 56:"procedure":0:58 = "y":56 FALSE
LEVEL_13:reserved_words:49 58:"call":0:60 = "y":56 FALSE
LEVEL_13:reserved_words:49 60:"begin":0:62 = "y":56 FALSE
LEVEL_13:reserved_words:49 62:"end":0:64 = "y":56 FALSE
LEVEL_13:reserved_words:49 64:"if":0:66 = "y":56 FALSE
LEVEL_13:reserved_words:49 66:"then":0:68 = "y":56 FALSE
LEVEL_13:reserved_words:49 68:"while":0:70 = "y":56 FALSE
LEVEL_13:reserved_words:49 70:"do":0:0 = "y":56 FALSE
LEVEL_13:reserved_words:49 FALSE
LEVEL_12:name:39 46:EXCLUDE_OFF:0:0
LEVEL_12:name:39 TRUE
LEVEL_11:factor:323 TRUE
LEVEL_10:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_11:mul_div:112 entry 115
LEVEL_11:mul_div:112 115:"*":0:118 = ";":57 FALSE
LEVEL_11:mul_div:112 118:"/":0:0 = ";":57 FALSE
LEVEL_11:mul_div:112 FALSE
LEVEL_10:term:311 TRUE
LEVEL_9:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_10:plus_minus:102 entry 105
LEVEL_10:plus_minus:102 105:"+":0:108 = ";":57 FALSE
LEVEL_10:plus_minus:102 108:"-":0:0 = ";":57 FALSE
LEVEL_10:plus_minus:102 FALSE
LEVEL_9:expression:294 TRUE
LEVEL_8:operator_content:198 TRUE
LEVEL_7:operator:264 TRUE
LEVEL_6:operator_content:198 233:";":235:238 = ";":57 TRUE
LEVEL_6:operator_content:198 235:"operator"-->264 NON_TERMINAL
LEVEL_7:operator:264 entry 269
LEVEL_7:operator:264 269:"operator_content"-->198 NON_TERMINAL
LEVEL_8:operator_content:198 entry 204
LEVEL_8:operator_content:198 204:"name"-->39 NON_TERMINAL
LEVEL_9:name:39 entry 42
LEVEL_9:name:39 42:EXCLUDE_ON:44:0
LEVEL_9:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_10:reserved_words:49 entry 52
LEVEL_10:reserved_words:49 52:"const":0:54 = "z":59 FALSE
LEVEL_10:reserved_words:49 54:"var":0:56 = "z":59 FALSE
LEVEL_10:reserved_words:49 56:"procedure":0:58 = "z":59 FALSE
LEVEL_10:reserved_words:49 58:"call":0:60 = "z":59 FALSE
LEVEL_10:reserved_words:49 60:"begin":0:62 = "z":59 FALSE
LEVEL_10:reserved_words:49 62:"end":0:64 = "z":59 FALSE
LEVEL_10:reserved_words:49 64:"if":0:66 = "z":59 FALSE
LEVEL_10:reserved_words:49 66:"then":0:68 = "z":59 FALSE
LEVEL_10:reserved_words:49 68:"while":0:70 = "z":59 FALSE
LEVEL_10:reserved_words:49 70:"do":0:0 = "z":59 FALSE
LEVEL_10:reserved_words:49 FALSE
LEVEL_9:name:39 46:EXCLUDE_OFF:0:0
LEVEL_9:name:39 TRUE
SEMANTIC_TOKEN AT 206: SEM_LET
LEVEL_8:operator_content:198 208:":=":210:0 = ":=":60 SEMANTIC DECODE: SEM_LET=":="
 TRUE
SEMANTIC_TOKEN AT 210: SEM_DONE
LEVEL_8:operator_content:198 212:"expression"-->294 NON_TERMINAL
LEVEL_9:expression:294 entry 298
LEVEL_9:expression:294 298:"plus_minus"-->102 NON_TERMINAL
LEVEL_10:plus_minus:102 entry 105
LEVEL_10:plus_minus:102 105:"+":0:108 = "0":61 FALSE
LEVEL_10:plus_minus:102 108:"-":0:0 = "0":61 FALSE
LEVEL_10:plus_minus:102 FALSE
LEVEL_9:expression:294 302:"term"-->311 NON_TERMINAL
LEVEL_10:term:311 entry 314
LEVEL_10:term:311 314:"factor"-->323 NON_TERMINAL
LEVEL_11:factor:323 entry 326
LEVEL_11:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_12:name:39 entry 42
LEVEL_12:name:39 42:EXCLUDE_ON:44:0
LEVEL_12:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_13:reserved_words:49 entry 52
LEVEL_13:reserved_words:49 52:"const":0:54 = "0":61 FALSE
LEVEL_13:reserved_words:49 54:"var":0:56 = "0":61 FALSE
LEVEL_13:reserved_words:49 56:"procedure":0:58 = "0":61 FALSE
LEVEL_13:reserved_words:49 58:"call":0:60 = "0":61 FALSE
LEVEL_13:reserved_words:49 60:"begin":0:62 = "0":61 FALSE
LEVEL_13:reserved_words:49 62:"end":0:64 = "0":61 FALSE
LEVEL_13:reserved_words:49 64:"if":0:66 = "0":61 FALSE
LEVEL_13:reserved_words:49 66:"then":0:68 = "0":61 FALSE
LEVEL_13:reserved_words:49 68:"while":0:70 = "0":61 FALSE
LEVEL_13:reserved_words:49 70:"do":0:0 = "0":61 FALSE
LEVEL_13:reserved_words:49 FALSE
LEVEL_12:name:39 46:EXCLUDE_OFF:0:0
LEVEL_12:name:39 TRUE
LEVEL_11:factor:323 TRUE
LEVEL_10:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_11:mul_div:112 entry 115
LEVEL_11:mul_div:112 115:"*":0:118 = ";":62 FALSE
LEVEL_11:mul_div:112 118:"/":0:0 = ";":62 FALSE
LEVEL_11:mul_div:112 FALSE
LEVEL_10:term:311 TRUE
LEVEL_9:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_10:plus_minus:102 entry 105
LEVEL_10:plus_minus:102 105:"+":0:108 = ";":62 FALSE
LEVEL_10:plus_minus:102 108:"-":0:0 = ";":62 FALSE
LEVEL_10:plus_minus:102 FALSE
LEVEL_9:expression:294 TRUE
LEVEL_8:operator_content:198 TRUE
LEVEL_7:operator:264 TRUE
LEVEL_6:operator_content:198 233:";":235:238 = ";":62 TRUE
LEVEL_6:operator_content:198 235:"operator"-->264 NON_TERMINAL
LEVEL_7:operator:264 entry 269
LEVEL_7:operator:264 269:"operator_content"-->198 NON_TERMINAL
LEVEL_8:operator_content:198 entry 204
LEVEL_8:operator_content:198 204:"name"-->39 NON_TERMINAL
LEVEL_9:name:39 entry 42
LEVEL_9:name:39 42:EXCLUDE_ON:44:0
LEVEL_9:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_10:reserved_words:49 entry 52
LEVEL_10:reserved_words:49 52:"const":0:54 = "while":68 FALSE
LEVEL_10:reserved_words:49 54:"var":0:56 = "while":68 FALSE
LEVEL_10:reserved_words:49 56:"procedure":0:58 = "while":68 FALSE
LEVEL_10:reserved_words:49 58:"call":0:60 = "while":68 FALSE
LEVEL_10:reserved_words:49 60:"begin":0:62 = "while":68 FALSE
LEVEL_10:reserved_words:49 62:"end":0:64 = "while":68 FALSE
LEVEL_10:reserved_words:49 64:"if":0:66 = "while":68 FALSE
LEVEL_10:reserved_words:49 66:"then":0:68 = "while":68 FALSE
LEVEL_10:reserved_words:49 68:"while":0:70 = "while":68 TRUE
LEVEL_10:reserved_words:49 TRUE
LEVEL_9:name:39 FALSE
LEVEL_8:operator_content:198 217:"call":219:228 = "while":68 FALSE
LEVEL_8:operator_content:198 228:"begin":230:243 = "while":68 FALSE
LEVEL_8:operator_content:198 243:"if":245:254 = "while":68 FALSE
LEVEL_8:operator_content:198 254:"while":256:0 = "while":68 TRUE
LEVEL_8:operator_content:198 256:"condition"-->275 NON_TERMINAL
LEVEL_9:condition:275 entry 278
LEVEL_9:condition:275 278:"unary_oper"-->74 NON_TERMINAL
LEVEL_10:unary_oper:74 entry 77
LEVEL_10:unary_oper:74 77:"odd":0:0 = "b":70 FALSE
LEVEL_10:unary_oper:74 FALSE
LEVEL_9:condition:275 286:"expression"-->294 NON_TERMINAL
LEVEL_10:expression:294 entry 298
LEVEL_10:expression:294 298:"plus_minus"-->102 NON_TERMINAL
LEVEL_11:plus_minus:102 entry 105
LEVEL_11:plus_minus:102 105:"+":0:108 = "b":70 FALSE
LEVEL_11:plus_minus:102 108:"-":0:0 = "b":70 FALSE
LEVEL_11:plus_minus:102 FALSE
LEVEL_10:expression:294 302:"term"-->311 NON_TERMINAL
LEVEL_11:term:311 entry 314
LEVEL_11:term:311 314:"factor"-->323 NON_TERMINAL
LEVEL_12:factor:323 entry 326
LEVEL_12:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_13:name:39 entry 42
LEVEL_13:name:39 42:EXCLUDE_ON:44:0
LEVEL_13:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_14:reserved_words:49 entry 52
LEVEL_14:reserved_words:49 52:"const":0:54 = "b":70 FALSE
LEVEL_14:reserved_words:49 54:"var":0:56 = "b":70 FALSE
LEVEL_14:reserved_words:49 56:"procedure":0:58 = "b":70 FALSE
LEVEL_14:reserved_words:49 58:"call":0:60 = "b":70 FALSE
LEVEL_14:reserved_words:49 60:"begin":0:62 = "b":70 FALSE
LEVEL_14:reserved_words:49 62:"end":0:64 = "b":70 FALSE
LEVEL_14:reserved_words:49 64:"if":0:66 = "b":70 FALSE
LEVEL_14:reserved_words:49 66:"then":0:68 = "b":70 FALSE
LEVEL_14:reserved_words:49 68:"while":0:70 = "b":70 FALSE
LEVEL_14:reserved_words:49 70:"do":0:0 = "b":70 FALSE
LEVEL_14:reserved_words:49 FALSE
LEVEL_13:name:39 46:EXCLUDE_OFF:0:0
LEVEL_13:name:39 TRUE
LEVEL_12:factor:323 TRUE
LEVEL_11:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_12:mul_div:112 entry 115
LEVEL_12:mul_div:112 115:"*":0:118 = ">":71 FALSE
LEVEL_12:mul_div:112 118:"/":0:0 = ">":71 FALSE
LEVEL_12:mul_div:112 FALSE
LEVEL_11:term:311 TRUE
LEVEL_10:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_11:plus_minus:102 entry 105
LEVEL_11:plus_minus:102 105:"+":0:108 = ">":71 FALSE
LEVEL_11:plus_minus:102 108:"-":0:0 = ">":71 FALSE
LEVEL_11:plus_minus:102 FALSE
LEVEL_10:expression:294 TRUE
LEVEL_9:condition:275 288:"binary_oper"-->80 NON_TERMINAL
LEVEL_10:binary_oper:80 entry 83
LEVEL_10:binary_oper:80 83:"=":0:86 = ">":71 FALSE
LEVEL_10:binary_oper:80 86:"<>":0:89 = ">":71 FALSE
LEVEL_10:binary_oper:80 89:"<":0:92 = ">":71 FALSE
LEVEL_10:binary_oper:80 92:">":0:95 = ">":71 TRUE
LEVEL_10:binary_oper:80 TRUE
LEVEL_9:condition:275 290:"expression"-->294 NON_TERMINAL
LEVEL_10:expression:294 entry 298
LEVEL_10:expression:294 298:"plus_minus"-->102 NON_TERMINAL
LEVEL_11:plus_minus:102 entry 105
LEVEL_11:plus_minus:102 105:"+":0:108 = "0":72 FALSE
LEVEL_11:plus_minus:102 108:"-":0:0 = "0":72 FALSE
LEVEL_11:plus_minus:102 FALSE
LEVEL_10:expression:294 302:"term"-->311 NON_TERMINAL
LEVEL_11:term:311 entry 314
LEVEL_11:term:311 314:"factor"-->323 NON_TERMINAL
LEVEL_12:factor:323 entry 326
LEVEL_12:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_13:name:39 entry 42
LEVEL_13:name:39 42:EXCLUDE_ON:44:0
LEVEL_13:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_14:reserved_words:49 entry 52
LEVEL_14:reserved_words:49 52:"const":0:54 = "0":72 FALSE
LEVEL_14:reserved_words:49 54:"var":0:56 = "0":72 FALSE
LEVEL_14:reserved_words:49 56:"procedure":0:58 = "0":72 FALSE
LEVEL_14:reserved_words:49 58:"call":0:60 = "0":72 FALSE
LEVEL_14:reserved_words:49 60:"begin":0:62 = "0":72 FALSE
LEVEL_14:reserved_words:49 62:"end":0:64 = "0":72 FALSE
LEVEL_14:reserved_words:49 64:"if":0:66 = "0":72 FALSE
LEVEL_14:reserved_words:49 66:"then":0:68 = "0":72 FALSE
LEVEL_14:reserved_words:49 68:"while":0:70 = "0":72 FALSE
LEVEL_14:reserved_words:49 70:"do":0:0 = "0":72 FALSE
LEVEL_14:reserved_words:49 FALSE
LEVEL_13:name:39 46:EXCLUDE_OFF:0:0
LEVEL_13:name:39 TRUE
LEVEL_12:factor:323 TRUE
LEVEL_11:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_12:mul_div:112 entry 115
LEVEL_12:mul_div:112 115:"*":0:118 = "do":74 FALSE
LEVEL_12:mul_div:112 118:"/":0:0 = "do":74 FALSE
LEVEL_12:mul_div:112 FALSE
LEVEL_11:term:311 TRUE
LEVEL_10:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_11:plus_minus:102 entry 105
LEVEL_11:plus_minus:102 105:"+":0:108 = "do":74 FALSE
LEVEL_11:plus_minus:102 108:"-":0:0 = "do":74 FALSE
LEVEL_11:plus_minus:102 FALSE
LEVEL_10:expression:294 TRUE
LEVEL_9:condition:275 TRUE
LEVEL_8:operator_content:198 258:"do":260:0 = "do":74 TRUE
LEVEL_8:operator_content:198 260:"operator"-->264 NON_TERMINAL
LEVEL_9:operator:264 entry 269
LEVEL_9:operator:264 269:"operator_content"-->198 NON_TERMINAL
LEVEL_10:operator_content:198 entry 204
LEVEL_10:operator_content:198 204:"name"-->39 NON_TERMINAL
LEVEL_11:name:39 entry 42
LEVEL_11:name:39 42:EXCLUDE_ON:44:0
LEVEL_11:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_12:reserved_words:49 entry 52
LEVEL_12:reserved_words:49 52:"const":0:54 = "begin":80 FALSE
LEVEL_12:reserved_words:49 54:"var":0:56 = "begin":80 FALSE
LEVEL_12:reserved_words:49 56:"procedure":0:58 = "begin":80 FALSE
LEVEL_12:reserved_words:49 58:"call":0:60 = "begin":80 FALSE
LEVEL_12:reserved_words:49 60:"begin":0:62 = "begin":80 TRUE
LEVEL_12:reserved_words:49 TRUE
LEVEL_11:name:39 FALSE
LEVEL_10:operator_content:198 217:"call":219:228 = "begin":80 FALSE
LEVEL_10:operator_content:198 228:"begin":230:243 = "begin":80 TRUE
LEVEL_10:operator_content:198 230:"operator"-->264 NON_TERMINAL
LEVEL_11:operator:264 entry 269
LEVEL_11:operator:264 269:"operator_content"-->198 NON_TERMINAL
LEVEL_12:operator_content:198 entry 204
LEVEL_12:operator_content:198 204:"name"-->39 NON_TERMINAL
LEVEL_13:name:39 entry 42
LEVEL_13:name:39 42:EXCLUDE_ON:44:0
LEVEL_13:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_14:reserved_words:49 entry 52
LEVEL_14:reserved_words:49 52:"const":0:54 = "if":88 FALSE
LEVEL_14:reserved_words:49 54:"var":0:56 = "if":88 FALSE
LEVEL_14:reserved_words:49 56:"procedure":0:58 = "if":88 FALSE
LEVEL_14:reserved_words:49 58:"call":0:60 = "if":88 FALSE
LEVEL_14:reserved_words:49 60:"begin":0:62 = "if":88 FALSE
LEVEL_14:reserved_words:49 62:"end":0:64 = "if":88 FALSE
LEVEL_14:reserved_words:49 64:"if":0:66 = "if":88 TRUE
LEVEL_14:reserved_words:49 TRUE
LEVEL_13:name:39 FALSE
LEVEL_12:operator_content:198 217:"call":219:228 = "if":88 FALSE
LEVEL_12:operator_content:198 228:"begin":230:243 = "if":88 FALSE
LEVEL_12:operator_content:198 243:"if":245:254 = "if":88 TRUE
LEVEL_12:operator_content:198 245:"condition"-->275 NON_TERMINAL
LEVEL_13:condition:275 entry 278
LEVEL_13:condition:275 278:"unary_oper"-->74 NON_TERMINAL
LEVEL_14:unary_oper:74 entry 77
LEVEL_14:unary_oper:74 77:"odd":0:0 = "odd":90 TRUE
LEVEL_14:unary_oper:74 TRUE
LEVEL_13:condition:275 280:"expression"-->294 NON_TERMINAL
LEVEL_14:expression:294 entry 298
LEVEL_14:expression:294 298:"plus_minus"-->102 NON_TERMINAL
LEVEL_15:plus_minus:102 entry 105
LEVEL_15:plus_minus:102 105:"+":0:108 = "b":92 FALSE
LEVEL_15:plus_minus:102 108:"-":0:0 = "b":92 FALSE
LEVEL_15:plus_minus:102 FALSE
LEVEL_14:expression:294 302:"term"-->311 NON_TERMINAL
LEVEL_15:term:311 entry 314
LEVEL_15:term:311 314:"factor"-->323 NON_TERMINAL
LEVEL_16:factor:323 entry 326
LEVEL_16:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_17:name:39 entry 42
LEVEL_17:name:39 42:EXCLUDE_ON:44:0
LEVEL_17:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_18:reserved_words:49 entry 52
LEVEL_18:reserved_words:49 52:"const":0:54 = "b":92 FALSE
LEVEL_18:reserved_words:49 54:"var":0:56 = "b":92 FALSE
LEVEL_18:reserved_words:49 56:"procedure":0:58 = "b":92 FALSE
LEVEL_18:reserved_words:49 58:"call":0:60 = "b":92 FALSE
LEVEL_18:reserved_words:49 60:"begin":0:62 = "b":92 FALSE
LEVEL_18:reserved_words:49 62:"end":0:64 = "b":92 FALSE
LEVEL_18:reserved_words:49 64:"if":0:66 = "b":92 FALSE
LEVEL_18:reserved_words:49 66:"then":0:68 = "b":92 FALSE
LEVEL_18:reserved_words:49 68:"while":0:70 = "b":92 FALSE
LEVEL_18:reserved_words:49 70:"do":0:0 = "b":92 FALSE
LEVEL_18:reserved_words:49 FALSE
LEVEL_17:name:39 46:EXCLUDE_OFF:0:0
LEVEL_17:name:39 TRUE
LEVEL_16:factor:323 TRUE
LEVEL_15:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_16:mul_div:112 entry 115
LEVEL_16:mul_div:112 115:"*":0:118 = "then":94 FALSE
LEVEL_16:mul_div:112 118:"/":0:0 = "then":94 FALSE
LEVEL_16:mul_div:112 FALSE
LEVEL_15:term:311 TRUE
LEVEL_14:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_15:plus_minus:102 entry 105
LEVEL_15:plus_minus:102 105:"+":0:108 = "then":94 FALSE
LEVEL_15:plus_minus:102 108:"-":0:0 = "then":94 FALSE
LEVEL_15:plus_minus:102 FALSE
LEVEL_14:expression:294 TRUE
LEVEL_13:condition:275 TRUE
LEVEL_12:operator_content:198 247:"then":249:0 = "then":94 TRUE
LEVEL_12:operator_content:198 249:"operator"-->264 NON_TERMINAL
LEVEL_13:operator:264 entry 269
LEVEL_13:operator:264 269:"operator_content"-->198 NON_TERMINAL
LEVEL_14:operator_content:198 entry 204
LEVEL_14:operator_content:198 204:"name"-->39 NON_TERMINAL
LEVEL_15:name:39 entry 42
LEVEL_15:name:39 42:EXCLUDE_ON:44:0
LEVEL_15:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_16:reserved_words:49 entry 52
LEVEL_16:reserved_words:49 52:"const":0:54 = "z":96 FALSE
LEVEL_16:reserved_words:49 54:"var":0:56 = "z":96 FALSE
LEVEL_16:reserved_words:49 56:"procedure":0:58 = "z":96 FALSE
LEVEL_16:reserved_words:49 58:"call":0:60 = "z":96 FALSE
LEVEL_16:reserved_words:49 60:"begin":0:62 = "z":96 FALSE
LEVEL_16:reserved_words:49 62:"end":0:64 = "z":96 FALSE
LEVEL_16:reserved_words:49 64:"if":0:66 = "z":96 FALSE
LEVEL_16:reserved_words:49 66:"then":0:68 = "z":96 FALSE
LEVEL_16:reserved_words:49 68:"while":0:70 = "z":96 FALSE
LEVEL_16:reserved_words:49 70:"do":0:0 = "z":96 FALSE
LEVEL_16:reserved_words:49 FALSE
LEVEL_15:name:39 46:EXCLUDE_OFF:0:0
LEVEL_15:name:39 TRUE
SEMANTIC_TOKEN AT 206: SEM_LET
LEVEL_14:operator_content:198 208:":=":210:0 = ":=":97 SEMANTIC DECODE: SEM_LET=":="
 TRUE
SEMANTIC_TOKEN AT 210: SEM_DONE
LEVEL_14:operator_content:198 212:"expression"-->294 NON_TERMINAL
LEVEL_15:expression:294 entry 298
LEVEL_15:expression:294 298:"plus_minus"-->102 NON_TERMINAL
LEVEL_16:plus_minus:102 entry 105
LEVEL_16:plus_minus:102 105:"+":0:108 = "z":98 FALSE
LEVEL_16:plus_minus:102 108:"-":0:0 = "z":98 FALSE
LEVEL_16:plus_minus:102 FALSE
LEVEL_15:expression:294 302:"term"-->311 NON_TERMINAL
LEVEL_16:term:311 entry 314
LEVEL_16:term:311 314:"factor"-->323 NON_TERMINAL
LEVEL_17:factor:323 entry 326
LEVEL_17:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_18:name:39 entry 42
LEVEL_18:name:39 42:EXCLUDE_ON:44:0
LEVEL_18:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_19:reserved_words:49 entry 52
LEVEL_19:reserved_words:49 52:"const":0:54 = "z":98 FALSE
LEVEL_19:reserved_words:49 54:"var":0:56 = "z":98 FALSE
LEVEL_19:reserved_words:49 56:"procedure":0:58 = "z":98 FALSE
LEVEL_19:reserved_words:49 58:"call":0:60 = "z":98 FALSE
LEVEL_19:reserved_words:49 60:"begin":0:62 = "z":98 FALSE
LEVEL_19:reserved_words:49 62:"end":0:64 = "z":98 FALSE
LEVEL_19:reserved_words:49 64:"if":0:66 = "z":98 FALSE
LEVEL_19:reserved_words:49 66:"then":0:68 = "z":98 FALSE
LEVEL_19:reserved_words:49 68:"while":0:70 = "z":98 FALSE
LEVEL_19:reserved_words:49 70:"do":0:0 = "z":98 FALSE
LEVEL_19:reserved_words:49 FALSE
LEVEL_18:name:39 46:EXCLUDE_OFF:0:0
LEVEL_18:name:39 TRUE
LEVEL_17:factor:323 TRUE
LEVEL_16:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_17:mul_div:112 entry 115
LEVEL_17:mul_div:112 115:"*":0:118 = "+":99 FALSE
LEVEL_17:mul_div:112 118:"/":0:0 = "+":99 FALSE
LEVEL_17:mul_div:112 FALSE
LEVEL_16:term:311 TRUE
LEVEL_15:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_16:plus_minus:102 entry 105
LEVEL_16:plus_minus:102 105:"+":0:108 = "+":99 TRUE
LEVEL_16:plus_minus:102 TRUE
LEVEL_15:expression:294 307:"term"-->311 NON_TERMINAL
LEVEL_16:term:311 entry 314
LEVEL_16:term:311 314:"factor"-->323 NON_TERMINAL
LEVEL_17:factor:323 entry 326
LEVEL_17:factor:323 326:"name"-->39 NON_TERMINAL
LEVEL_18:name:39 entry 42
LEVEL_18:name:39 42:EXCLUDE_ON:44:0
LEVEL_18:name:39 44:"reserved_words"-->49 NON_TERMINAL
LEVEL_19:reserved_words:49 entry 52
LEVEL_19:reserved_words:49 52:"const":0:54 = "a":100 FALSE
LEVEL_19:reserved_words:49 54:"var":0:56 = "a":100 FALSE
LEVEL_19:reserved_words:49 56:"procedure":0:58 = "a":100 FALSE
LEVEL_19:reserved_words:49 58:"call":0:60 = "a":100 FALSE
LEVEL_19:reserved_words:49 60:"begin":0:62 = "a":100 FALSE
LEVEL_19:reserved_words:49 62:"end":0:64 = "a":100 FALSE
LEVEL_19:reserved_words:49 64:"if":0:66 = "a":100 FALSE
LEVEL_19:reserved_words:49 66:"then":0:68 = "a":100 FALSE
LEVEL_19:reserved_words:49 68:"while":0:70 = "a":100 FALSE
LEVEL_19:reserved_words:49 70:"do":0:0 = "a":100 FALSE
LEVEL_19:reserved_words:49 FALSE
LEVEL_18:name:39 46:EXCLUDE_OFF:0:0
LEVEL_18:name:39 TRUE
LEVEL_17:factor:323 TRUE
LEVEL_16:term:311 317:"mul_div"-->112 NON_TERMINAL
LEVEL_17:mul_div:112 entry 115
LEVEL_17:mul_div:112 115:"*":0:118 = ";":101 FALSE
LEVEL_17:mul_div:112 118:"/":0:0 = ";":101 FALSE
LEVEL_17:mul_div:112 FALSE
LEVEL_16:term:311 TRUE
LEVEL_15:expression:294 305:"plus_minus"-->102 NON_TERMINAL
LEVEL_16:plus_minus:102 entry 105
LEVEL_16:plus_minus:102 105:"+":0:108 = ";":101 FALSE
LEVEL_16:plus_minus:102 108:"-":0:0 = ";":101 FALSE
LEVEL_16:plus_minus:102 FALSE
LEVEL_15:expression:294 TRUE
LEVEL_14:operator_content:198 TRUE
LEVEL_13:operator:264 TRUE
LEVEL_12:operator_content:198 TRUE
LEVEL_11:operator:264 TRUE
LEVEL_10:operator_content:198 233:";":235:238 = ";":101 TRUE
